geography,variable,concept,year,estimate
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2009,307497
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2010,2245419
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2011,2553021
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2012,2831764
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2013,3122144
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2014,3527183
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2015,3695549
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2016,4999481
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2017,7309208
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2018,7691493
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2019,8873984
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2020,4939197
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2021,1992665
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2022,6590027
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Boardings,2023,8590987
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2002,0
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2003,0
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2004,3307
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2005,3263
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2006,3315
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2007,3330
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2008,3253
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2009,3179
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2010,50220
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2011,42924
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2012,45755
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2013,47759
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2014,50565
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2015,50124
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2016,60130
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2017,79998
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2018,89887
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2019,90512
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2020,87485
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2021,73440
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2022,135606
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Hours,2023,143607
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2002,0
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2003,0
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2004,31722
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2005,32009
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2006,31924
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2007,32075
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2008,31576
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2009,30836
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2010,914872
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2011,775120
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2012,824070
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2013,894287
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2014,914742
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2015,889529
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2016,1138630
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2017,1596505
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2018,1809435
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2019,1816900
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2020,1507961
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2021,1418191
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2022,2689078
Sound Transit,"Light Rail, Streetcar & Monorail",Transit Revenue-Miles,2023,2887067
Washington State Ferries,Ferry,Transit Boardings,2002,7499092
Washington State Ferries,Ferry,Transit Boardings,2003,7034967
Washington State Ferries,Ferry,Transit Boardings,2004,7135060
Washington State Ferries,Ferry,Transit Boardings,2005,6972713
Washington State Ferries,Ferry,Transit Boardings,2006,6931769
Washington State Ferries,Ferry,Transit Boardings,2007,6724265
Washington State Ferries,Ferry,Transit Boardings,2008,6689339
Washington State Ferries,Ferry,Transit Boardings,2009,6670710
Washington State Ferries,Ferry,Transit Boardings,2010,6518345
Washington State Ferries,Ferry,Transit Boardings,2011,6384852
Washington State Ferries,Ferry,Transit Boardings,2012,6321037
Washington State Ferries,Ferry,Transit Boardings,2013,6405183
Washington State Ferries,Ferry,Transit Boardings,2014,6549320
Washington State Ferries,Ferry,Transit Boardings,2015,6838560
Washington State Ferries,Ferry,Transit Boardings,2016,7044695
Washington State Ferries,Ferry,Transit Boardings,2017,6928628
Washington State Ferries,Ferry,Transit Boardings,2018,6996673
Washington State Ferries,Ferry,Transit Boardings,2019,6701857
Washington State Ferries,Ferry,Transit Boardings,2020,4604287
Washington State Ferries,Ferry,Transit Boardings,2021,4589124
Washington State Ferries,Ferry,Transit Boardings,2022,4663318
Washington State Ferries,Ferry,Transit Boardings,2023,5239212
Washington State Ferries,Ferry,Transit Revenue-Hours,2002,44208
Washington State Ferries,Ferry,Transit Revenue-Hours,2003,43692
Washington State Ferries,Ferry,Transit Revenue-Hours,2004,41330
Washington State Ferries,Ferry,Transit Revenue-Hours,2005,40923
Washington State Ferries,Ferry,Transit Revenue-Hours,2006,40467
Washington State Ferries,Ferry,Transit Revenue-Hours,2007,40552
Washington State Ferries,Ferry,Transit Revenue-Hours,2008,40156
Washington State Ferries,Ferry,Transit Revenue-Hours,2009,40089
Washington State Ferries,Ferry,Transit Revenue-Hours,2010,40347
Washington State Ferries,Ferry,Transit Revenue-Hours,2011,40157
Washington State Ferries,Ferry,Transit Revenue-Hours,2012,40530
Washington State Ferries,Ferry,Transit Revenue-Hours,2013,40145
Washington State Ferries,Ferry,Transit Revenue-Hours,2014,40201
Washington State Ferries,Ferry,Transit Revenue-Hours,2015,40258
Washington State Ferries,Ferry,Transit Revenue-Hours,2016,40385
Washington State Ferries,Ferry,Transit Revenue-Hours,2017,40268
Washington State Ferries,Ferry,Transit Revenue-Hours,2018,40132
Washington State Ferries,Ferry,Transit Revenue-Hours,2019,40201
Washington State Ferries,Ferry,Transit Revenue-Hours,2020,38166
Washington State Ferries,Ferry,Transit Revenue-Hours,2021,36701
Washington State Ferries,Ferry,Transit Revenue-Hours,2022,32362
Washington State Ferries,Ferry,Transit Revenue-Hours,2023,35519
Washington State Ferries,Ferry,Transit Revenue-Miles,2002,344352
Washington State Ferries,Ferry,Transit Revenue-Miles,2003,341392
Washington State Ferries,Ferry,Transit Revenue-Miles,2004,299143
Washington State Ferries,Ferry,Transit Revenue-Miles,2005,298987
Washington State Ferries,Ferry,Transit Revenue-Miles,2006,289618
Washington State Ferries,Ferry,Transit Revenue-Miles,2007,288550
Washington State Ferries,Ferry,Transit Revenue-Miles,2008,287313
Washington State Ferries,Ferry,Transit Revenue-Miles,2009,285409
Washington State Ferries,Ferry,Transit Revenue-Miles,2010,285336
Washington State Ferries,Ferry,Transit Revenue-Miles,2011,287780
Washington State Ferries,Ferry,Transit Revenue-Miles,2012,287948
Washington State Ferries,Ferry,Transit Revenue-Miles,2013,284977
Washington State Ferries,Ferry,Transit Revenue-Miles,2014,285273
Washington State Ferries,Ferry,Transit Revenue-Miles,2015,286303
Washington State Ferries,Ferry,Transit Revenue-Miles,2016,287239
Washington State Ferries,Ferry,Transit Revenue-Miles,2017,286148
Washington State Ferries,Ferry,Transit Revenue-Miles,2018,285105
Washington State Ferries,Ferry,Transit Revenue-Miles,2019,285995
Washington State Ferries,Ferry,Transit Revenue-Miles,2020,266279
Washington State Ferries,Ferry,Transit Revenue-Miles,2021,261506
Washington State Ferries,Ferry,Transit Revenue-Miles,2022,225632
Washington State Ferries,Ferry,Transit Revenue-Miles,2023,246975
