year,variable,metric,estimate,share
2021,"CHONGQING ZONGSHEN AUTOMOTIVE INDUSTRY CO., LTD.",Battery Electric Vehicle,8,4.251248804336274e-4
2021,FIAT,Battery Electric Vehicle,53,0.0028164523328727815
2021,FISKER AUTOMOTIVE,Hybrid Electric Vehicle,1,6.645843025187745e-5
2021,FORD,Battery Electric Vehicle,492,0.026145180146668084
2021,FORD,Hybrid Electric Vehicle,578,0.03841297268558517
2021,GARIA,Battery Electric Vehicle,1,5.3140610054203425e-5
2021,GMC,Hybrid Electric Vehicle,7,4.652090117631422e-4
2021,HONDA,Hybrid Electric Vehicle,171,0.011364391573071043
2021,HYUNDAI,Battery Electric Vehicle,168,0.008927622489106175
2021,HYUNDAI,Hybrid Electric Vehicle,1101,0.07317073170731707
2021,JAGUAR,Battery Electric Vehicle,23,0.0012222340312466786
2021,JAGUAR,Hybrid Electric Vehicle,30,0.0019937529075563236
2021,KIA,Battery Electric Vehicle,439,0.023328727813795302
2021,KIA,Hybrid Electric Vehicle,487,0.03236525553266432
2021,LAND ROVER,Hybrid Electric Vehicle,512,0.034026716288961256
2021,LEXUS,Hybrid Electric Vehicle,1012,0.06725593141489998
2021,LINCOLN,Hybrid Electric Vehicle,8,5.316674420150196e-4
2021,LIVEWIRE,Battery Electric Vehicle,2,1.0628122010840685e-4
2021,MERCEDES-BENZ,Battery Electric Vehicle,6,3.188436603252205e-4
2021,MINI,Battery Electric Vehicle,132,0.0070145605271548514
2021,MITSUBISHI,Battery Electric Vehicle,1,5.3140610054203425e-5
2021,NISSAN,Battery Electric Vehicle,1058,0.05622276543734722
2021,NISSAN,Hybrid Electric Vehicle,11,7.31042732770652e-4
2021,NIU,Battery Electric Vehicle,1,5.3140610054203425e-5
2021,PIAGGIO AND VESPA,Battery Electric Vehicle,8,4.251248804336274e-4
2021,POLESTAR,Battery Electric Vehicle,122,0.006483154426612818
2021,PORSCHE,Battery Electric Vehicle,163,0.008661919438835158
2021,PORSCHE,Hybrid Electric Vehicle,33,0.0021931281983119558
2021,RIVIAN,Battery Electric Vehicle,1,5.3140610054203425e-5
2021,SATURN,Hybrid Electric Vehicle,5,3.3229215125938727e-4
