date,variable,geography,estimate,share
2021-02-01,Internal Combustion Engine,Kitsap,1170,0.936
2021-02-01,Internal Combustion Engine,Pierce,3962,0.9417637271214643
2021-02-01,Internal Combustion Engine,Snohomish,3064,0.916267942583732
2022-02-01,Battery Electric Vehicle,King,988,0.09561598761250363
2022-02-01,Battery Electric Vehicle,Kitsap,47,0.038180341186027617
2022-02-01,Battery Electric Vehicle,Pierce,122,0.03024293505205751
2022-02-01,Battery Electric Vehicle,Snohomish,248,0.07057484348321001
2022-02-01,Hybrid Electric Vehicle,King,930,0.09000290331946192
2022-02-01,Hybrid Electric Vehicle,Kitsap,70,0.05686433793663688
2022-02-01,Hybrid Electric Vehicle,Pierce,268,0.06643529995042141
2022-02-01,Hybrid Electric Vehicle,Snohomish,260,0.07398975526465566
2022-02-01,Internal Combustion Engine,King,8415,0.8143811090680344
2022-02-01,Internal Combustion Engine,Kitsap,1114,0.9049553208773355
2022-02-01,Internal Combustion Engine,Pierce,3644,0.903321764997521
2022-02-01,Internal Combustion Engine,Snohomish,3006,0.8554354012521344
2023-02-01,Battery Electric Vehicle,King,1439,0.1494599085999169
2023-02-01,Battery Electric Vehicle,Kitsap,72,0.06805293005671077
2023-02-01,Battery Electric Vehicle,Pierce,212,0.05659369994660972
2023-02-01,Battery Electric Vehicle,Snohomish,357,0.10857664233576643
2023-02-01,Hybrid Electric Vehicle,King,742,0.07706688824262567
2023-02-01,Hybrid Electric Vehicle,Kitsap,66,0.062381852551984876
2023-02-01,Hybrid Electric Vehicle,Pierce,217,0.05792845702082221
2023-02-01,Hybrid Electric Vehicle,Snohomish,243,0.0739051094890511
2023-02-01,Internal Combustion Engine,King,7447,0.7734732031574574
2023-02-01,Internal Combustion Engine,Kitsap,920,0.8695652173913043
2023-02-01,Internal Combustion Engine,Pierce,3317,0.885477843032568
2023-02-01,Internal Combustion Engine,Snohomish,2688,0.8175182481751825
2017-03-01,Battery Electric Vehicle,King,325,0.01914693059974078
2017-03-01,Battery Electric Vehicle,Kitsap,15,0.009305210918114143
2017-03-01,Battery Electric Vehicle,Pierce,29,0.005469634100339495
2017-03-01,Battery Electric Vehicle,Snohomish,63,0.014426379665674376
2017-03-01,Hybrid Electric Vehicle,King,156,0.009190526687875575
2017-03-01,Hybrid Electric Vehicle,Kitsap,2,0.0012406947890818859
2017-03-01,Hybrid Electric Vehicle,Pierce,19,0.0035835533760844966
2017-03-01,Hybrid Electric Vehicle,Snohomish,10,0.002289901534234028
2017-03-01,Internal Combustion Engine,King,16493,0.9716625427123836
2017-03-01,Internal Combustion Engine,Kitsap,1595,0.989454094292804
2017-03-01,Internal Combustion Engine,Pierce,5254,0.990946812523576
2017-03-01,Internal Combustion Engine,Snohomish,4294,0.9832837188000916
2018-03-01,Battery Electric Vehicle,King,329,0.021994919106832465
2018-03-01,Battery Electric Vehicle,Kitsap,21,0.013496143958868894
2018-03-01,Battery Electric Vehicle,Pierce,31,0.006046420908913595
2018-03-01,Battery Electric Vehicle,Snohomish,57,0.013970588235294118
2018-03-01,Hybrid Electric Vehicle,King,142,0.009493247760395776
2018-03-01,Hybrid Electric Vehicle,Kitsap,6,0.0038560411311053984
2018-03-01,Hybrid Electric Vehicle,Pierce,15,0.002925687536571094
2018-03-01,Hybrid Electric Vehicle,Snohomish,25,0.006127450980392157
2018-03-01,Internal Combustion Engine,King,14487,0.9685118331327718
2018-03-01,Internal Combustion Engine,Kitsap,1529,0.9826478149100257
2018-03-01,Internal Combustion Engine,Pierce,5081,0.9910278915545153
2018-03-01,Internal Combustion Engine,Snohomish,3998,0.9799019607843137
2019-03-01,Battery Electric Vehicle,King,313,0.02114579110930955
2019-03-01,Battery Electric Vehicle,Kitsap,9,0.00663716814159292
2019-03-01,Battery Electric Vehicle,Pierce,35,0.007329842931937173
2019-03-01,Battery Electric Vehicle,Snohomish,78,0.019514635976982737
2019-03-01,Hybrid Electric Vehicle,King,111,0.0074989866234292666
2019-03-01,Hybrid Electric Vehicle,Kitsap,6,0.004424778761061947
2019-03-01,Hybrid Electric Vehicle,Pierce,25,0.005235602094240838
2019-03-01,Hybrid Electric Vehicle,Snohomish,23,0.005754315736802602
2019-03-01,Internal Combustion Engine,King,14378,0.9713552222672612
2019-03-01,Internal Combustion Engine,Kitsap,1341,0.9889380530973452
2019-03-01,Internal Combustion Engine,Pierce,4715,0.987434554973822
2019-03-01,Internal Combustion Engine,Snohomish,3896,0.9747310482862147
2020-03-01,Battery Electric Vehicle,King,631,0.05427490108377774
2020-03-01,Battery Electric Vehicle,Kitsap,29,0.02408637873754153
2020-03-01,Battery Electric Vehicle,Pierce,65,0.015194015895278168
2020-03-01,Battery Electric Vehicle,Snohomish,93,0.025292357900462335
2020-03-01,Hybrid Electric Vehicle,King,338,0.029072767933941167
2020-03-01,Hybrid Electric Vehicle,Kitsap,19,0.015780730897009966
2020-03-01,Hybrid Electric Vehicle,Pierce,85,0.019869097709209912
2020-03-01,Hybrid Electric Vehicle,Snohomish,95,0.025836279575741094
2020-03-01,Internal Combustion Engine,King,10657,0.916652330982281
2020-03-01,Internal Combustion Engine,Kitsap,1156,0.9601328903654485
2020-03-01,Internal Combustion Engine,Pierce,4128,0.9649368863955119
2020-03-01,Internal Combustion Engine,Snohomish,3489,0.9488713625237966
2021-03-01,Battery Electric Vehicle,King,617,0.048350442755269965
2021-03-01,Battery Electric Vehicle,Kitsap,33,0.019879518072289156
2021-03-01,Battery Electric Vehicle,Pierce,112,0.021600771456123432
2021-03-01,Battery Electric Vehicle,Snohomish,156,0.03796544171331224
2021-03-01,Hybrid Electric Vehicle,King,758,0.05939973356320038
2021-03-01,Hybrid Electric Vehicle,Kitsap,72,0.043373493975903614
2021-03-01,Hybrid Electric Vehicle,Pierce,199,0.03837994214079074
2021-03-01,Hybrid Electric Vehicle,Snohomish,171,0.04161596495497688
2021-03-01,Internal Combustion Engine,King,11386,0.8922498236815296
2021-03-01,Internal Combustion Engine,Kitsap,1555,0.9367469879518072
2021-03-01,Internal Combustion Engine,Pierce,4874,0.9400192864030859
2021-03-01,Internal Combustion Engine,Snohomish,3782,0.9204185933317108
2022-03-01,Battery Electric Vehicle,King,1020,0.0856710902066185
2022-03-01,Battery Electric Vehicle,Kitsap,62,0.04505813953488372
2022-03-01,Battery Electric Vehicle,Pierce,152,0.033115468409586055
2022-03-01,Battery Electric Vehicle,Snohomish,233,0.05506972346962893
2022-03-01,Hybrid Electric Vehicle,King,1028,0.0863430203258861
2022-03-01,Hybrid Electric Vehicle,Kitsap,94,0.06831395348837209
2022-03-01,Hybrid Electric Vehicle,Pierce,260,0.05664488017429194
2022-03-01,Hybrid Electric Vehicle,Snohomish,346,0.08177735759867644
2022-03-01,Internal Combustion Engine,King,9858,0.8279858894674954
2022-03-01,Internal Combustion Engine,Kitsap,1220,0.8866279069767442
2022-03-01,Internal Combustion Engine,Pierce,4178,0.910239651416122
2022-03-01,Internal Combustion Engine,Snohomish,3652,0.8631529189316947
2023-03-01,Battery Electric Vehicle,King,1619,0.13366908850726553
2023-03-01,Battery Electric Vehicle,Kitsap,111,0.08302169035153328
2023-03-01,Battery Electric Vehicle,Pierce,307,0.06650779896013864
2023-03-01,Battery Electric Vehicle,Snohomish,485,0.12043704991308667
2023-03-01,Hybrid Electric Vehicle,King,1062,0.08768163804491413
2023-03-01,Hybrid Electric Vehicle,Kitsap,80,0.05983545250560957
2023-03-01,Hybrid Electric Vehicle,Pierce,332,0.07192374350086655
2023-03-01,Hybrid Electric Vehicle,Snohomish,351,0.08716165880307922
2023-03-01,Internal Combustion Engine,King,9431,0.7786492734478203
2023-03-01,Internal Combustion Engine,Kitsap,1146,0.8571428571428571
2023-03-01,Internal Combustion Engine,Pierce,3977,0.8615684575389948
2023-03-01,Internal Combustion Engine,Snohomish,3191,0.7924012912838341
2017-04-01,Battery Electric Vehicle,King,326,0.022296696532384926
2017-04-01,Battery Electric Vehicle,Kitsap,15,0.010080645161290322
2017-04-01,Battery Electric Vehicle,Pierce,40,0.008335069806209627
2017-04-01,Battery Electric Vehicle,Snohomish,61,0.015361369932007051
2017-04-01,Hybrid Electric Vehicle,King,123,0.00841255728062376
2017-04-01,Hybrid Electric Vehicle,Kitsap,11,0.00739247311827957
2017-04-01,Hybrid Electric Vehicle,Pierce,22,0.004584288393415295
2017-04-01,Hybrid Electric Vehicle,Snohomish,30,0.007554772097708386
2017-04-01,Internal Combustion Engine,King,14172,0.9692907461869913
2017-04-01,Internal Combustion Engine,Kitsap,1462,0.9825268817204301
2017-04-01,Internal Combustion Engine,Pierce,4737,0.987080641800375
2017-04-01,Internal Combustion Engine,Snohomish,3880,0.9770838579702845
2018-04-01,Battery Electric Vehicle,King,386,0.027950760318609703
2018-04-01,Battery Electric Vehicle,Kitsap,13,0.009259259259259259
2018-04-01,Battery Electric Vehicle,Pierce,44,0.00917813934084272
2018-04-01,Battery Electric Vehicle,Snohomish,70,0.017618927762396173
2018-04-01,Hybrid Electric Vehicle,King,131,0.00948587979724837
2018-04-01,Hybrid Electric Vehicle,Kitsap,7,0.004985754985754986
